speaker_id,speaker_display,speaker_party,speaker_role,utterances,energy_security_rate,energy_minerals_rate,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index,speaker_cluster
MonaKeijzer,Mona Keijzer,Unknown,Unknown,12,0.3333333333333333,0.0,45.687108333333335,1.7783083333333334,1.1653416666666667,4.808283333333333,0.0,0.1068121693121693,0
PaulFrentrop,Paul Frentrop,Unknown,Unknown,12,0.4166666666666667,0.0,18.096966666666663,5.528341666666666,5.9986,4.102083333333333,0.0,0.4212962962962963,0
AnneMarijkePodt,Anne Marijke Podt,Unknown,Unknown,11,0.09090909090909091,0.0,26.603245454545455,4.329,3.6204363636363635,1.9588363636363637,0.0,0.09090909090909091,0
GijsvanDijk,Gijsvan Dijk,Unknown,Unknown,11,0.09090909090909091,0.0,29.22300909090909,0.37721818181818184,8.7443,0.0,0.0,0.09090909090909091,0
JobavandenBerg,Jobavanden Berg,Unknown,Unknown,11,0.09090909090909091,0.0,18.001072727272728,3.3883272727272735,7.98969090909091,0.4113545454545454,1.377409090909091,0.2727272727272727,0
JoostSneller,Joost Sneller,Unknown,Unknown,11,0.36363636363636365,0.0,5.8262636363636355,1.0983636363636364,2.5871727272727276,2.3559727272727273,0.0,0.24545454545454548,0
PaulBlokhuis,Paul Blokhuis,Unknown,Unknown,11,0.09090909090909091,0.0,8.788963636363636,0.6587636363636364,0.9664454545454546,0.0,0.0,0.18181818181818182,0
RemcoDijkstra,Remco Dijkstra,Unknown,Unknown,11,0.0,0.0,28.106345454545455,0.0,2.6012090909090912,4.326627272727273,0.0,0.0,0
SennaMaatoug,Senna Maatoug,Unknown,Unknown,11,0.09090909090909091,0.0,30.85729090909091,0.3270090909090909,12.137527272727272,0.4467272727272727,0.0,0.0303030303030303,0
AlexanderHammelburg,Alexander Hammelburg,Unknown,Unknown,10,0.0,0.0,29.06322,0.0,8.27,5.53509,0.0,0.0,0
AtzoNicolaï,Atzo Nicolaï,Unknown,Unknown,10,0.3,0.1,16.81354,0.7669499999999999,1.0753,3.2166699999999997,0.16129,0.24666666666666667,0
Evert-JanSlootweg,Evert- Jan Slootweg,Unknown,Unknown,10,0.2,0.0,21.09772,0.29927000000000004,10.84658,1.5635100000000002,0.0,0.03611111111111111,0
GideonvanMeijeren,Gideonvan Meijeren,Unknown,Unknown,10,0.2,0.0,21.28803,1.34975,0.33898,2.64787,0.0,0.25,0
NilüferGündoğan,Nilüfer Gündoğan,Unknown,Unknown,10,0.1,0.0,23.464750000000002,0.1139,19.43466,3.8108599999999995,0.0,0.01,0
OlafEphraim,Olaf Ephraim,Unknown,Unknown,10,0.5,0.0,16.44399,9.72076,13.469370000000001,0.1845,0.0,1.7925,0
SjoerdSjoerdsma,Sjoerd Sjoerdsma,Unknown,Unknown,53,0.7547169811320755,0.0,33.81494716981132,29.08097358490566,1.7240264150943396,3.336566037735849,0.0,3.498256146369354,1
BramvanOjik,Bramvan Ojik,Unknown,Unknown,28,0.7142857142857143,0.0,59.0656,30.722114285714287,1.320582142857143,1.3325607142857143,0.0,2.2392857142857143,1
RubenBrekelmans,Ruben Brekelmans,Unknown,Unknown,19,0.7368421052631579,0.0,26.126563157894736,66.95303684210526,6.505410526315789,0.35562105263157895,1.7867526315789475,5.7368421052631575,1
RaymonddeRoon,Raymondde Roon,Unknown,Unknown,17,0.5882352941176471,0.0,67.05469411764705,31.00599411764706,4.734041176470589,0.0,0.0,4.2745098039215685,1
JaspervanDijk,Jaspervan Dijk,Unknown,Unknown,16,0.625,0.0,23.16380625,27.097825,4.8011,0.0,0.0,2.7395833333333335,1
KatiPiri,Kati Piri,Unknown,Unknown,16,0.9375,0.0,16.27146875,42.4346125,2.22590625,0.0,0.0,5.09375,1
BarbaraVisser,Barbara Visser,Unknown,Unknown,14,0.7857142857142857,0.0,10.997507142857144,9.968114285714288,0.5213785714285714,1.2417142857142858,0.0,1.8928571428571428,1
MartijnvanHelvert,Martijnvan Helvert,Unknown,Unknown,12,0.8333333333333334,0.0,18.136725,37.94351666666667,0.49644166666666667,0.2302,0.0,5.416666666666667,1
BenKnapen,Ben Knapen,Unknown,Unknown,11,0.8181818181818182,0.0,20.739245454545454,26.69201818181818,2.342481818181818,1.6559909090909088,0.3523636363636364,5.2623376623376625,1
MariekeKoekkoek,Marieke Koekkoek,Unknown,Unknown,11,0.6363636363636364,0.09090909090909091,23.566763636363635,31.373054545454547,3.1195363636363638,4.6097,2.977627272727273,1.7045454545454546,1
EricWiebes,Eric Wiebes,Unknown,Unknown,390,0.05641025641025641,0.04358974358974359,39.75795307692307,0.6282676923076923,5.881881538461539,4.847968717948718,1.1751653846153847,0.03606227106227106,2
SandraBeckerman,Sandra Beckerman,Unknown,Unknown,256,0.015625,0.05859375,51.73035,0.07684843749999999,5.514287890625,3.692791796875,2.93990234375,0.00902157738095238,2
TomvanderLee,Tomvander Lee,Unknown,Unknown,256,0.140625,0.03515625,44.55317109375,4.32238515625,4.43535234375,7.329098828125,2.016342578125,0.26132347470238093,2
DilanYeşilgöz-Zegerius,Dilan Yeşilgöz- Zegerius,Unknown,Unknown,232,0.05603448275862069,0.004310344827586207,43.99930129310345,0.5838038793103448,3.655693103448276,5.86645301724138,0.43494310344827586,0.053558302892734944,2
RobJetten,Rob Jetten,Unknown,Unknown,221,0.2081447963800905,0.03167420814479638,52.0183742081448,3.5674085972850675,4.138779185520362,7.865528054298642,0.4327524886877828,0.1602492278962867,2
AlexanderKops,Alexander Kops,Unknown,Unknown,167,0.10179640718562874,0.04790419161676647,71.71924191616766,1.1286874251497006,5.799332934131737,7.803140119760479,0.4937119760479042,0.04566827882696146,2
LammertvanRaan,Lammertvan Raan,Unknown,Unknown,166,0.0963855421686747,0.03614457831325301,48.2111578313253,2.2983927710843375,7.323472289156626,11.56837891566265,0.6193897590361446,0.11049401224808737,2
MatthijsSienot,Matthijs Sienot,Unknown,Unknown,141,0.09929078014184398,0.02127659574468085,59.399607092198586,1.2475170212765958,2.4429624113475175,5.611200709219858,3.1563,0.07225599459642013,2
HenkOtten,Henk Otten,Unknown,Unknown,131,0.21374045801526717,0.015267175572519083,59.83000381679389,5.774712977099236,5.8304488549618325,3.8520999999999996,0.1249175572519084,0.2188840421664849,2
WilliamMoorlag,William Moorlag,Unknown,Unknown,126,0.06349206349206349,0.015873015873015872,49.76338492063492,1.0756166666666667,2.560652380952381,10.898189682539684,0.2002888888888889,0.08465608465608465,2
AgnesMulder,Agnes Mulder,Unknown,Unknown,122,0.09016393442622951,0.08196721311475409,44.60048852459017,1.653861475409836,1.099044262295082,3.5250827868852457,6.089333606557377,0.2229735883424408,2
SuzanneKröger,Suzanne Kröger,Unknown,Unknown,119,0.12605042016806722,0.05042016806722689,55.139521008403364,2.9740420168067225,4.624979831932773,8.98306974789916,11.036152100840336,0.12444977991196479,2
ArdaGerkens,Arda Gerkens,Unknown,Unknown,116,0.1724137931034483,0.05172413793103448,78.58674482758622,5.349866379310345,5.9499706896551725,8.586274999999999,0.9828112068965518,0.1755028735632184,2
PieterGrinwis,Pieter Grinwis,Unknown,Unknown,116,0.12931034482758622,0.04310344827586207,49.537775,2.5052241379310343,7.287040517241379,7.509864655172414,0.48745000000000005,0.08912151067323482,2
WybrenvanHaga,Wybrenvan Haga,Unknown,Unknown,116,0.22413793103448276,0.04310344827586207,51.83518448275862,5.105118965517241,6.039009482758621,4.411201724137931,1.722521551724138,0.28780343219998394,2
HansVijlbrief,Hans Vijlbrief,Unknown,Unknown,107,0.04672897196261682,0.07476635514018691,31.905314018691588,0.5108654205607477,7.044805607476636,2.621878504672897,2.2509859813084114,0.045171339563862926,2
JorisThijssen,Joris Thijssen,Unknown,Unknown,106,0.07547169811320754,0.0,59.84747547169812,1.4979641509433963,5.8336066037735845,15.282050000000002,0.0,0.07059748427672956,2
JesseKlaver,Jesse Klaver,Unknown,Unknown,103,0.10679611650485436,0.019417475728155338,45.49787669902912,2.3922077669902913,5.052852427184466,3.1157708737864076,1.1019747572815535,0.2180998613037448,2
KhadijaArib,Khadija Arib,Unknown,Unknown,100,0.13,0.01,35.412243,1.0271949999999999,2.292928,1.840036,11.130863,0.11666666666666665,2
HenriBontenbal,Henri Bontenbal,Unknown,Unknown,98,0.07142857142857142,0.02040816326530612,76.13006428571428,0.8938061224489796,4.520051020408164,10.000491836734694,0.24867857142857142,0.1368804664723032,2
ChristineTeunissen,Christine Teunissen,Unknown,Unknown,92,0.2717391304347826,0.010869565217391304,60.88169239130435,10.117584782608697,9.14778152173913,13.989347826086956,0.0988141304347826,0.463398185361101,2
VeraBergkamp,Vera Bergkamp,Unknown,Unknown,80,0.0125,0.0375,70.02638375000001,0.5,6.497166250000001,1.8105012500000002,7.479729999999999,0.0125,2
CarlaDik-Faber,Carla Dik- Faber,Unknown,Unknown,77,0.03896103896103896,0.06493506493506493,46.2373961038961,0.15704545454545454,3.2433727272727273,14.288735064935066,2.930801298701299,0.006771799628942487,2
Gert-JanSegers,Gert- Jan Segers,Unknown,Unknown,70,0.18571428571428572,0.07142857142857142,44.011134285714284,2.21603,4.775327142857143,4.372061428571428,0.8485857142857144,0.13089826839826837,2
FrankWassenberg,Frank Wassenberg,Unknown,Unknown,69,0.057971014492753624,0.028985507246376812,33.17705217391305,0.45278550724637684,1.5275130434782611,6.854,0.7672,0.026811594202898553,2
RenevanderLinden,Renevander Linden,Unknown,Unknown,65,0.12307692307692308,0.015384615384615385,54.28860153846154,2.5867169230769234,3.087966153846154,8.151373846153845,0.5698,0.28685529030356616,2
CarolinevanderPlas,Carolinevander Plas,Unknown,Unknown,64,0.203125,0.015625,37.6203359375,3.0127765625,5.0252,8.841114062499999,0.2055921875,0.4068147997835498,2
StefBlok,Stef Blok,Unknown,Unknown,64,0.359375,0.078125,27.3514265625,11.4381359375,1.893225,4.2474953125,1.302615625,1.4328125,2
KeesVendrik,Kees Vendrik,Unknown,Unknown,62,0.0967741935483871,0.0,50.864314516129035,0.8475838709677419,7.058941935483871,16.414288709677418,0.0,0.020033747614392777,2
FerdCrone,Ferd Crone,Unknown,Unknown,61,0.06557377049180328,0.01639344262295082,46.8038131147541,1.2381131147540985,9.114695081967213,8.604306557377049,0.15465573770491803,0.02966432474629196,2
MarjoleinFaber-vandeKlashorst,Marjolein Faber-vande Klashorst,Unknown,Unknown,60,0.26666666666666666,0.03333333333333333,70.50894833333334,4.265971666666667,6.396261666666666,7.674008333333333,0.07555166666666667,0.3127210967232897,2
HenkPijlman,Henk Pijlman,Unknown,Unknown,54,0.18518518518518517,0.018518518518518517,72.48463518518518,4.675614814814815,5.007622222222222,9.939425925925926,0.21533148148148148,0.24405864197530866,2
